ข้อมูลที่อยู่อาศัยสร้างเสร็จจดทะเบียน เดือน พฤษภาคม 2569,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
การแสดงผลจังหวัด แยกตามอำเภอ (กรุงเทพมหานคร),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ลำดับที่,จังหวัด/อำเภอ,บ้าน (1),โรงแรม (7),โรงงาน (13),หอพัก (14),ตึกแถว (16),ห้องแถว (17),ตึก (18),ร้านค้า (19),สำนักงาน (20),แฟลต (21),อาคารชุด (22),ห้างหุ้นส่วนจำกัด (33),ห้างหุ้นส่วนนิติบุคคล (34),โกดัง (37),บริษัท (38),ทาวน์เฮ้าส์ (39),บ้านแฝด (45),บ้านแถว (49),ทาวน์โฮม (51),อื่น ๆ,รวม
34,ท้องถิ่นเขตสวนหลวง,"31,992",16,2,11,898,12,"17,896",29,100,3,"33,439",0,0,0,2,481,555,"3,410",22,765,"89,633"
35,ท้องถิ่นเขตจอมทอง,"59,775",5,6,10,490,6,324,63,94,16,"10,791",0,2,11,10,490,167,"1,420",0,"1,308","74,988"
36,ท้องถิ่นเขตดอนเมือง,"48,232",14,4,64,949,4,297,53,196,"5,570","13,625",0,0,0,6,"11,257","1,787",4,15,"2,089","84,166"
37,ท้องถิ่นเขตราชเทวี,"22,824",235,0,108,"1,380",17,"1,586","2,248",88,841,"25,431",0,0,3,0,0,2,0,0,"3,355","58,118"
38,ท้องถิ่นเขตลาดพร้าว,"43,189",54,0,0,929,1,431,77,280,10,"12,186",0,0,6,5,"2,058",321,169,0,"1,247","60,963"
39,ท้องถิ่นเขตวัฒนา,"39,092",210,2,13,486,13,990,196,159,10,"46,292",0,0,0,1,27,0,0,0,612,"88,103"
40,ท้องถิ่นเขตบางแค,"83,579",4,4,32,253,4,649,86,175,69,"7,798",0,0,3,0,"5,084",416,"1,391",0,788,"100,335"
41,ท้องถิ่นเขตหลักสี่,"32,758",26,16,111,"1,113",22,38,132,203,"1,459","18,512",1,0,11,40,"1,127",371,989,0,"6,413","63,342"
42,ท้องถิ่นเขตสายไหม,"66,335",2,1,117,"5,115",64,"6,504",99,140,"5,229","8,144",0,0,1,4,"5,785","1,529","7,507",12,"6,680","113,268"
43,ท้องถิ่นเขตคันนายาว,"26,376",9,16,102,"1,746",5,"2,882",224,165,"1,461","12,270",1,0,0,15,"2,019",362,985,0,956,"49,594"
44,ท้องถิ่นเขตสะพานสูง,"31,255",4,2,14,"1,176",7,"1,700",36,108,2,"1,801",2,0,20,10,"2,530","1,024","4,475",0,775,"44,941"
45,ท้องถิ่นเขตวังทองหลาง,"45,498",25,2,1,"2,233",2,"2,924",131,207,138,"13,259",0,0,1,9,214,315,764,0,944,"66,667"
46,ท้องถิ่นเขตคลองสามวา,"72,043",1,18,17,"1,277",56,149,"1,394",371,142,"1,095",0,0,18,10,"6,597","4,018","2,913",20,"5,291","95,430"
47,ท้องถิ่นเขตบางนา,"29,688",55,202,43,396,18,693,161,430,65,"49,701",0,0,20,1,251,29,44,0,"1,507","83,304"
48,ท้องถิ่นเขตทวีวัฒนา,"33,910",0,3,43,134,0,"1,284",443,90,0,0,0,0,6,0,437,361,0,0,976,"37,687"
49,ท้องถิ่นเขตทุ่งครุ,"36,605",0,24,136,"1,080",34,"2,737",209,100,"1,027","5,932",0,0,12,11,"8,862",662,149,15,"1,088","58,683"
50,ท้องถิ่นเขตบางบอน,"46,942",0,4,24,748,10,"1,050",42,40,2,"2,824",2,0,31,2,46,400,244,63,"1,746","54,220"
