_id,No.,Date,Organization,Number_Passenger,Note
1722,1722,3/6/2023,BTS Green Line,"578,790",
1723,1723,3/6/2023,BTS Gold Line,"7,659",
1724,1724,4/6/2023,SRT,"65,073",
1725,1725,4/6/2023,ARL,"46,188",
1726,1726,4/6/2023,Red Line,"13,263",
1727,1727,4/6/2023,MRT Blue Line,"215,678",
1728,1728,4/6/2023,MRT Purple Line,"22,565",
1729,1729,4/6/2023,MRT Yellow Line,"36,789",
1730,1730,4/6/2023,BTS Green Line,"551,352",
1731,1731,4/6/2023,BTS Gold Line,"6,645",
1732,1732,5/6/2023,SRT,"69,613",
1733,1733,5/6/2023,ARL,"43,716",
1734,1734,5/6/2023,Red Line,"13,089",
1735,1735,5/6/2023,MRT Blue Line,"198,670",
1736,1736,5/6/2023,MRT Purple Line,"20,348",
1737,1737,5/6/2023,MRT Yellow Line,"32,769",
1738,1738,5/6/2023,BTS Green Line,"448,425",
1739,1739,5/6/2023,BTS Gold Line,"5,669",
1740,1740,6/6/2023,SRT,"62,733",
1741,1741,6/6/2023,ARL,"66,500",
1742,1742,6/6/2023,Red Line,"22,892",
1743,1743,6/6/2023,MRT Blue Line,"379,783",
1744,1744,6/6/2023,MRT Purple Line,"47,610",
1745,1745,6/6/2023,MRT Yellow Line,"22,010",
1746,1746,6/6/2023,BTS Green Line,"781,367",
1747,1747,6/6/2023,BTS Gold Line,"5,547",
1748,1748,7/6/2023,SRT,"57,225",
1749,1749,7/6/2023,ARL,"65,071",
1750,1750,7/6/2023,Red Line,"22,874",
1751,1751,7/6/2023,MRT Blue Line,"405,514",
1752,1752,7/6/2023,MRT Purple Line,"50,937",
1753,1753,7/6/2023,MRT Yellow Line,"21,180",
1754,1754,7/6/2023,BTS Green Line,"759,251",
1755,1755,7/6/2023,BTS Gold Line,"5,116",
1756,1756,8/6/2023,SRT,"56,977",
1757,1757,8/6/2023,ARL,"65,034",
1758,1758,8/6/2023,Red Line,"21,567",
1759,1759,8/6/2023,MRT Blue Line,"398,383",
1760,1760,8/6/2023,MRT Purple Line,"48,848",
1761,1761,8/6/2023,MRT Yellow Line,"20,487",
1762,1762,8/6/2023,BTS Green Line,"746,393",
1763,1763,8/6/2023,BTS Gold Line,"5,274",
1764,1764,9/6/2023,SRT,"65,909",
1765,1765,9/6/2023,ARL,"70,412",
1766,1766,9/6/2023,Red Line,"23,543",
1767,1767,9/6/2023,MRT Blue Line,"410,172",
1768,1768,9/6/2023,MRT Purple Line,"50,288",
1769,1769,9/6/2023,MRT Yellow Line,"22,813",
1770,1770,9/6/2023,BTS Green Line,"801,604",
1771,1771,9/6/2023,BTS Gold Line,"6,237",
1772,1772,10/6/2023,SRT,"57,666",
1773,1773,10/6/2023,ARL,"50,700",
1774,1774,10/6/2023,Red Line,"16,054",
1775,1775,10/6/2023,MRT Blue Line,"256,613",
1776,1776,10/6/2023,MRT Purple Line,"26,783",
1777,1777,10/6/2023,MRT Yellow Line,"30,209",
1778,1778,10/6/2023,BTS Green Line,"593,381",
1779,1779,10/6/2023,BTS Gold Line,"6,989",
1780,1780,11/6/2023,SRT,"61,205",
1781,1781,11/6/2023,ARL,"44,663",
1782,1782,11/6/2023,Red Line,"13,883",
1783,1783,11/6/2023,MRT Blue Line,"221,222",
1784,1784,11/6/2023,MRT Purple Line,"21,281",
1785,1785,11/6/2023,MRT Yellow Line,"30,460",
1786,1786,11/6/2023,BTS Green Line,"476,669",
1787,1787,11/6/2023,BTS Gold Line,"5,798",
1788,1788,12/6/2023,SRT,"61,412",
1789,1789,12/6/2023,ARL,"64,302",
1790,1790,12/6/2023,Red Line,"22,914",
1791,1791,12/6/2023,MRT Blue Line,"394,462",
1792,1792,12/6/2023,MRT Purple Line,"51,431",
1793,1793,12/6/2023,MRT Yellow Line,"44,353",
1794,1794,12/6/2023,BTS Green Line,"733,781",
1795,1795,12/6/2023,BTS Gold Line,"5,451",
1796,1796,13/6/2023,SRT,"56,334",
1797,1797,13/6/2023,ARL,"66,056",
1798,1798,13/6/2023,Red Line,"22,163",
1799,1799,13/6/2023,MRT Blue Line,"393,222",
1800,1800,13/6/2023,MRT Purple Line,"49,142",
1801,1801,13/6/2023,MRT Yellow Line,"49,625",
1802,1802,13/6/2023,BTS Green Line,"767,262",
1803,1803,13/6/2023,BTS Gold Line,"5,015",
1804,1804,14/6/2023,SRT,"55,490",
1805,1805,14/6/2023,ARL,"64,222",
1806,1806,14/6/2023,Red Line,"22,597",
1807,1807,14/6/2023,MRT Blue Line,"396,782",
1808,1808,14/6/2023,MRT Purple Line,"49,210",
1809,1809,14/6/2023,MRT Yellow Line,"50,670",
1810,1810,14/6/2023,BTS Green Line,"777,470",
1811,1811,14/6/2023,BTS Gold Line,"4,760",
1812,1812,15/6/2023,SRT,"57,883",
1813,1813,15/6/2023,ARL,"65,304",
1814,1814,15/6/2023,Red Line,"22,342",
1815,1815,15/6/2023,MRT Blue Line,"390,582",
1816,1816,15/6/2023,MRT Purple Line,"48,241",
1817,1817,15/6/2023,MRT Yellow Line,"51,016",
1818,1818,15/6/2023,BTS Green Line,"789,778",
1819,1819,15/6/2023,BTS Gold Line,"5,507",
1820,1820,16/6/2023,SRT,"67,642",
1821,1821,16/6/2023,ARL,"67,960",
1822,1822,16/6/2023,Red Line,"24,991",
1823,1823,16/6/2023,MRT Blue Line,"411,517",
1824,1824,16/6/2023,MRT Purple Line,"49,668",
1825,1825,16/6/2023,MRT Yellow Line,"54,089",
1826,1826,16/6/2023,BTS Green Line,"820,565",
1827,1827,16/6/2023,BTS Gold Line,"6,199",
1828,1828,17/6/2023,SRT,"60,454",
1829,1829,17/6/2023,ARL,"50,025",
1830,1830,17/6/2023,Red Line,"17,085",
1831,1831,17/6/2023,MRT Blue Line,"265,576",
1832,1832,17/6/2023,MRT Purple Line,"29,393",
1833,1833,17/6/2023,MRT Yellow Line,"63,310",
1834,1834,17/6/2023,BTS Green Line,"567,219",
1835,1835,17/6/2023,BTS Gold Line,"7,467",
1836,1836,18/6/2023,SRT,"64,219",
1837,1837,18/6/2023,ARL,"44,338",
1838,1838,18/6/2023,Red Line,"14,632",
1839,1839,18/6/2023,MRT Blue Line,"214,655",
1840,1840,18/6/2023,MRT Purple Line,"23,608",
1841,1841,18/6/2023,MRT Yellow Line,"44,419",
1842,1842,18/6/2023,BTS Green Line,"469,058",
1843,1843,18/6/2023,BTS Gold Line,"5,714",
1844,1844,19/6/2023,SRT,"62,779",
1845,1845,19/6/2023,ARL,"66,200",
1846,1846,19/6/2023,Red Line,"23,167",
1847,1847,19/6/2023,MRT Blue Line,"396,801",
1848,1848,19/6/2023,MRT Purple Line,"47,304",
1849,1849,19/6/2023,MRT Yellow Line,"65,511",
1850,1850,19/6/2023,BTS Green Line,"739,052",
1851,1851,19/6/2023,BTS Gold Line,"5,374",
1852,1852,20/6/2023,SRT,"58,893",
1853,1853,20/6/2023,ARL,"66,591",
1854,1854,20/6/2023,Red Line,"22,573",
1855,1855,20/6/2023,MRT Blue Line,"408,178",
1856,1856,20/6/2023,MRT Purple Line,"50,555",
1857,1857,20/6/2023,MRT Yellow Line,"72,807",
1858,1858,20/6/2023,BTS Green Line,"718,405",
1859,1859,20/6/2023,BTS Gold Line,"5,209",
1860,1860,21/6/2023,SRT,"55,796",
1861,1861,21/6/2023,ARL,"68,357",
1862,1862,21/6/2023,Red Line,"22,544",
1863,1863,21/6/2023,MRT Blue Line,"413,489",
1864,1864,21/6/2023,MRT Purple Line,"50,684",
1865,1865,21/6/2023,MRT Yellow Line,"74,348",
1866,1866,21/6/2023,BTS Green Line,"819,660",
1867,1867,21/6/2023,BTS Gold Line,"5,557",
1868,1868,22/6/2023,SRT,"58,054",
1869,1869,22/6/2023,ARL,"67,182",
1870,1870,22/6/2023,Red Line,"22,643",
1871,1871,22/6/2023,MRT Blue Line,"396,981",
1872,1872,22/6/2023,MRT Purple Line,"48,571",
1873,1873,22/6/2023,MRT Yellow Line,"64,804",
1874,1874,22/6/2023,BTS Green Line,"822,186",
1875,1875,22/6/2023,BTS Gold Line,"5,732",
1876,1876,23/6/2023,SRT,"70,635",
1877,1877,23/6/2023,ARL,"69,778",
1878,1878,23/6/2023,Red Line,"24,823",
1879,1879,23/6/2023,MRT Blue Line,"415,504",
1880,1880,23/6/2023,MRT Purple Line,"49,263",
1881,1881,23/6/2023,MRT Yellow Line,"73,801",
1882,1882,23/6/2023,BTS Green Line,"876,503",
1883,1883,23/6/2023,BTS Gold Line,"7,657",
1884,1884,24/6/2023,SRT,"60,290",
1885,1885,24/6/2023,ARL,"51,709",
1886,1886,24/6/2023,Red Line,"16,150",
1887,1887,24/6/2023,MRT Blue Line,"268,149",
1888,1888,24/6/2023,MRT Purple Line,"28,572",
1889,1889,24/6/2023,MRT Yellow Line,"79,990",
1890,1890,24/6/2023,BTS Green Line,"643,340",
1891,1891,24/6/2023,BTS Gold Line,"7,981",
1892,1892,25/6/2023,SRT,"67,162",
1893,1893,25/6/2023,ARL,"46,162",
1894,1894,25/6/2023,Red Line,"14,014",
1895,1895,25/6/2023,MRT Blue Line,"216,731",
1896,1896,25/6/2023,MRT Purple Line,"22,983",
1897,1897,25/6/2023,MRT Yellow Line,"80,546",
1898,1898,25/6/2023,BTS Green Line,"531,497",
1899,1899,25/6/2023,BTS Gold Line,"6,698",
1900,1900,26/6/2023,SRT,"66,927",
1901,1901,26/6/2023,ARL,"66,772",
1902,1902,26/6/2023,Red Line,"23,853",
1903,1903,26/6/2023,MRT Blue Line,"413,420",
1904,1904,26/6/2023,MRT Purple Line,"52,350",
1905,1905,26/6/2023,MRT Yellow Line,"74,129",
1906,1906,26/6/2023,BTS Green Line,"801,697",
1907,1907,26/6/2023,BTS Gold Line,"5,884",
1908,1908,27/6/2023,SRT,"65,097",
1909,1909,27/6/2023,ARL,"68,205",
1910,1910,27/6/2023,Red Line,"23,132",
1911,1911,27/6/2023,MRT Blue Line,"411,619",
1912,1912,27/6/2023,MRT Purple Line,"52,484",
1913,1913,27/6/2023,MRT Yellow Line,"79,117",
1914,1914,27/6/2023,BTS Green Line,"833,082",
1915,1915,27/6/2023,BTS Gold Line,"6,309",
1916,1916,28/6/2023,SRT,"64,799",
1917,1917,28/6/2023,ARL,"67,718",
1918,1918,28/6/2023,Red Line,"23,363",
1919,1919,28/6/2023,MRT Blue Line,"417,032",
1920,1920,28/6/2023,MRT Purple Line,"52,923",
1921,1921,28/6/2023,MRT Yellow Line,"81,492",
1922,1922,28/6/2023,BTS Green Line,"849,450",
1923,1923,28/6/2023,BTS Gold Line,"7,967",
1924,1924,29/6/2023,SRT,"58,210",
1925,1925,29/6/2023,ARL,"68,127",
1926,1926,29/6/2023,Red Line,"23,550",
1927,1927,29/6/2023,MRT Blue Line,"411,732",
1928,1928,29/6/2023,MRT Purple Line,"50,920",
1929,1929,29/6/2023,MRT Yellow Line,"86,061",
1930,1930,29/6/2023,BTS Green Line,"852,089",
1931,1931,29/6/2023,BTS Gold Line,"8,176",
1932,1932,30/6/2023,SRT,"74,992",
1933,1933,30/6/2023,ARL,"72,447",
1934,1934,30/6/2023,Red Line,"26,329",
1935,1935,30/6/2023,MRT Blue Line,"439,196",
1936,1936,30/6/2023,MRT Purple Line,"51,117",
1937,1937,30/6/2023,MRT Yellow Line,"92,038",
1938,1938,30/6/2023,BTS Green Line,"898,381",
1939,1939,30/6/2023,BTS Gold Line,"8,508",
1940,1940,1/7/2023,SRT,"67,005",
1941,1941,1/7/2023,ARL,"55,961",
1942,1942,1/7/2023,Red Line,"17,916",
1943,1943,1/7/2023,MRT Blue Line,"287,291",
1944,1944,1/7/2023,MRT Purple Line,"32,059",
1945,1945,1/7/2023,MRT Yellow Line,"78,077",
1946,1946,1/7/2023,BTS Green Line,"670,838",
1947,1947,1/7/2023,BTS Gold Line,"8,201",
1948,1948,2/7/2023,SRT,"77,052",
1949,1949,2/7/2023,ARL,"52,193",
1950,1950,2/7/2023,Red Line,"16,806",
1951,1951,2/7/2023,MRT Blue Line,"232,015",
1952,1952,2/7/2023,MRT Purple Line,"25,472",
1953,1953,2/7/2023,MRT Yellow Line,"79,575",
1954,1954,2/7/2023,BTS Green Line,"603,266",
1955,1955,2/7/2023,BTS Gold Line,"7,435",
1956,1956,3/7/2023,SRT,"70,346",
1957,1957,3/7/2023,ARL,"67,655",
1958,1958,3/7/2023,Red Line,"23,859",
1959,1959,3/7/2023,MRT Blue Line,"413,408",
1960,1960,3/7/2023,MRT Purple Line,"50,538",
1961,1961,3/7/2023,MRT Yellow Line,"45,135",
1962,1962,3/7/2023,BTS Green Line,"818,744",
1963,1963,3/7/2023,BTS Gold Line,"5,988",
1964,1964,4/7/2023,SRT,"63,756",
1965,1965,4/7/2023,ARL,"66,414",
1966,1966,4/7/2023,Red Line,"22,106",
1967,1967,4/7/2023,MRT Blue Line,"451,545",
1968,1968,4/7/2023,MRT Purple Line,"72,686",
1969,1969,4/7/2023,MRT Yellow Line,"38,232",
1970,1970,4/7/2023,BTS Green Line,"824,604",
1971,1971,4/7/2023,BTS Gold Line,"5,562",
1972,1972,5/7/2023,SRT,"61,014",
1973,1973,5/7/2023,ARL,"67,199",
1974,1974,5/7/2023,Red Line,"23,883",
1975,1975,5/7/2023,MRT Blue Line,"461,184",
1976,1976,5/7/2023,MRT Purple Line,"74,095",
1977,1977,5/7/2023,MRT Yellow Line,"40,839",
1978,1978,5/7/2023,BTS Green Line,"793,673",
1979,1979,5/7/2023,BTS Gold Line,"6,136",
1980,1980,6/7/2023,SRT,"63,620",
1981,1981,6/7/2023,ARL,"67,135",
1982,1982,6/7/2023,Red Line,"23,261",
1983,1983,6/7/2023,MRT Blue Line,"459,667",
1984,1984,6/7/2023,MRT Purple Line,"73,094",
1985,1985,6/7/2023,MRT Yellow Line,"40,471",
1986,1986,6/7/2023,BTS Green Line,"838,503",
1987,1987,6/7/2023,BTS Gold Line,"6,249",
1988,1988,7/7/2023,SRT,"75,007",
1989,1989,7/7/2023,ARL,"70,889",
1990,1990,7/7/2023,Red Line,"25,178",
1991,1991,7/7/2023,MRT Blue Line,"476,019",
1992,1992,7/7/2023,MRT Purple Line,"74,067",
1993,1993,7/7/2023,MRT Yellow Line,"43,690",
1994,1994,7/7/2023,BTS Green Line,"887,657",
1995,1995,7/7/2023,BTS Gold Line,"7,485",
1996,1996,8/7/2023,SRT,"63,868",
1997,1997,8/7/2023,ARL,"51,488",
1998,1998,8/7/2023,Red Line,"15,231",
1999,1999,8/7/2023,MRT Blue Line,"309,270",
2000,2000,8/7/2023,MRT Purple Line,"41,869",
2001,2001,8/7/2023,MRT Yellow Line,"36,493",
2002,2002,8/7/2023,BTS Green Line,"641,397",
2003,2003,8/7/2023,BTS Gold Line,"9,187",
2004,2004,9/7/2023,SRT,"69,288",
2005,2005,9/7/2023,ARL,"44,928",
2006,2006,9/7/2023,Red Line,"14,091",
2007,2007,9/7/2023,MRT Blue Line,"240,347",
2008,2008,9/7/2023,MRT Purple Line,"31,953",
2009,2009,9/7/2023,MRT Yellow Line,"29,632",
2010,2010,9/7/2023,BTS Green Line,"525,085",
2011,2011,9/7/2023,BTS Gold Line,"7,230",
2012,2012,10/7/2023,SRT,"65,554",
2013,2013,10/7/2023,ARL,"67,317",
2014,2014,10/7/2023,Red Line,"23,658",
2015,2015,10/7/2023,MRT Blue Line,"415,034",
2016,2016,10/7/2023,MRT Purple Line,"69,915",
2017,2017,10/7/2023,MRT Yellow Line,"38,874",
2018,2018,10/7/2023,BTS Green Line,"807,016",
2019,2019,10/7/2023,BTS Gold Line,"5,933",
2020,2020,11/7/2023,SRT,"61,417",
2021,2021,11/7/2023,ARL,"66,507",
2022,2022,11/7/2023,Red Line,"23,331",
2023,2023,11/7/2023,MRT Blue Line,"433,199",
2024,2024,11/7/2023,MRT Purple Line,"71,219",
2025,2025,11/7/2023,MRT Yellow Line,"38,624",
2026,2026,11/7/2023,BTS Green Line,"831,148",
2027,2027,11/7/2023,BTS Gold Line,"5,959",
2028,2028,12/7/2023,SRT,"60,049",
2029,2029,12/7/2023,ARL,"67,342",
2030,2030,12/7/2023,Red Line,"23,612",
2031,2031,12/7/2023,MRT Blue Line,"438,164",
2032,2032,12/7/2023,MRT Purple Line,"70,193",
2033,2033,12/7/2023,MRT Yellow Line,"36,911",
2034,2034,12/7/2023,BTS Green Line,"833,864",
2035,2035,12/7/2023,BTS Gold Line,"5,998",
2036,2036,13/7/2023,SRT,"60,275",
2037,2037,13/7/2023,ARL,"66,488",
2038,2038,13/7/2023,Red Line,"23,320",
2039,2039,13/7/2023,MRT Blue Line,"427,284",
2040,2040,13/7/2023,MRT Purple Line,"69,193",
2041,2041,13/7/2023,MRT Yellow Line,"36,921",
2042,2042,13/7/2023,BTS Green Line,"814,429",
2043,2043,13/7/2023,BTS Gold Line,"6,047",
2044,2044,14/7/2023,SRT,"73,210",
2045,2045,14/7/2023,ARL,"70,992",
2046,2046,14/7/2023,Red Line,"25,520",
2047,2047,14/7/2023,MRT Blue Line,"470,910",
2048,2048,14/7/2023,MRT Purple Line,"73,874",
2049,2049,14/7/2023,MRT Yellow Line,"40,883",
2050,2050,14/7/2023,BTS Green Line,"873,881",
2051,2051,14/7/2023,BTS Gold Line,"8,635",
2052,2052,15/7/2023,SRT,"62,130",
2053,2053,15/7/2023,ARL,"51,393",
2054,2054,15/7/2023,Red Line,"16,939",
2055,2055,15/7/2023,MRT Blue Line,"313,913",
2056,2056,15/7/2023,MRT Purple Line,"42,578",
2057,2057,15/7/2023,MRT Yellow Line,"34,926",
2058,2058,15/7/2023,BTS Green Line,"630,351",
2059,2059,15/7/2023,BTS Gold Line,"8,449",
2060,2060,16/7/2023,SRT,"65,901",
2061,2061,16/7/2023,ARL,"45,104",
2062,2062,16/7/2023,Red Line,"14,467",
2063,2063,16/7/2023,MRT Blue Line,"235,913",
2064,2064,16/7/2023,MRT Purple Line,"30,672",
2065,2065,16/7/2023,MRT Yellow Line,"28,408",
2066,2066,16/7/2023,BTS Green Line,"521,284",
2067,2067,16/7/2023,BTS Gold Line,"7,588",
2068,2068,17/7/2023,SRT,"63,525",
2069,2069,17/7/2023,ARL,"67,300",
2070,2070,17/7/2023,Red Line,"24,005",
2071,2071,17/7/2023,MRT Blue Line,"412,609",
2072,2072,17/7/2023,MRT Purple Line,"67,376",
2073,2073,17/7/2023,MRT Yellow Line,"36,155",
2074,2074,17/7/2023,BTS Green Line,"799,281",
2075,2075,17/7/2023,BTS Gold Line,"6,721",
2076,2076,18/7/2023,SRT,"58,705",
2077,2077,18/7/2023,ARL,"67,221",
2078,2078,18/7/2023,Red Line,"23,343",
2079,2079,18/7/2023,MRT Blue Line,"449,991",
2080,2080,18/7/2023,MRT Purple Line,"71,554",
2081,2081,18/7/2023,MRT Yellow Line,"35,818",
2082,2082,18/7/2023,BTS Green Line,"820,708",
2083,2083,18/7/2023,BTS Gold Line,"6,140",
2084,2084,19/7/2023,SRT,"58,025",
2085,2085,19/7/2023,ARL,"66,991",
2086,2086,19/7/2023,Red Line,"23,255",
2087,2087,19/7/2023,MRT Blue Line,"430,339",
2088,2088,19/7/2023,MRT Purple Line,"69,045",
2089,2089,19/7/2023,MRT Yellow Line,"36,061",
2090,2090,19/7/2023,BTS Green Line,"828,950",
2091,2091,19/7/2023,BTS Gold Line,"5,796",
2092,2092,20/7/2023,SRT,"59,872",
2093,2093,20/7/2023,ARL,"66,934",
2094,2094,20/7/2023,Red Line,"23,710",
2095,2095,20/7/2023,MRT Blue Line,"426,607",
2096,2096,20/7/2023,MRT Purple Line,"68,228",
2097,2097,20/7/2023,MRT Yellow Line,"38,549",
2098,2098,20/7/2023,BTS Green Line,"840,194",
2099,2099,20/7/2023,BTS Gold Line,"7,900",
2100,2100,21/7/2023,SRT,"70,721",
2101,2101,21/7/2023,ARL,"69,726",
2102,2102,21/7/2023,Red Line,"25,084",
2103,2103,21/7/2023,MRT Blue Line,"468,022",
2104,2104,21/7/2023,MRT Purple Line,"73,351",
2105,2105,21/7/2023,MRT Yellow Line,"39,059",
2106,2106,21/7/2023,BTS Green Line,"880,838",
2107,2107,21/7/2023,BTS Gold Line,"8,294",
2108,2108,22/7/2023,SRT,"58,594",
2109,2109,22/7/2023,ARL,"51,892",
2110,2110,22/7/2023,Red Line,"15,594",
2111,2111,22/7/2023,MRT Blue Line,"302,409",
2112,2112,22/7/2023,MRT Purple Line,"40,844",
2113,2113,22/7/2023,MRT Yellow Line,"34,102",
2114,2114,22/7/2023,BTS Green Line,"629,569",
2115,2115,22/7/2023,BTS Gold Line,"13,563",
2116,2116,23/7/2023,SRT,"63,148",
2117,2117,23/7/2023,ARL,"45,573",
2118,2118,23/7/2023,Red Line,"13,616",
2119,2119,23/7/2023,MRT Blue Line,"244,835",
2120,2120,23/7/2023,MRT Purple Line,"32,491",
2121,2121,23/7/2023,MRT Yellow Line,"28,209",
2122,2122,23/7/2023,BTS Green Line,"525,848",
2123,2123,23/7/2023,BTS Gold Line,"11,602",
2124,2124,24/7/2023,SRT,"64,424",
2125,2125,24/7/2023,ARL,"66,803",
2126,2126,24/7/2023,Red Line,"23,438",
2127,2127,24/7/2023,MRT Blue Line,"435,823",
2128,2128,24/7/2023,MRT Purple Line,"70,560",
2129,2129,24/7/2023,MRT Yellow Line,"35,587",
2130,2130,24/7/2023,BTS Green Line,"805,911",
2131,2131,24/7/2023,BTS Gold Line,"6,837",
2132,2132,25/7/2023,SRT,"61,200",
2133,2133,25/7/2023,ARL,"67,841",
2134,2134,25/7/2023,Red Line,"23,938",
2135,2135,25/7/2023,MRT Blue Line,"461,999",
2136,2136,25/7/2023,MRT Purple Line,"72,432",
2137,2137,25/7/2023,MRT Yellow Line,"36,442",
2138,2138,25/7/2023,BTS Green Line,"841,797",
2139,2139,25/7/2023,BTS Gold Line,"6,472",
2140,2140,26/7/2023,SRT,"65,518",
2141,2141,26/7/2023,ARL,"69,533",
2142,2142,26/7/2023,Red Line,"24,408",
2143,2143,26/7/2023,MRT Blue Line,"461,914",
2144,2144,26/7/2023,MRT Purple Line,"71,990",
2145,2145,26/7/2023,MRT Yellow Line,"36,543",
2146,2146,26/7/2023,BTS Green Line,"842,393",
2147,2147,26/7/2023,BTS Gold Line,"6,697",
2148,2148,27/7/2023,SRT,"88,780",
2149,2149,27/7/2023,ARL,"75,956",
2150,2150,27/7/2023,Red Line,"28,274",
2151,2151,27/7/2023,MRT Blue Line,"491,687",
2152,2152,27/7/2023,MRT Purple Line,"76,771",
2153,2153,27/7/2023,MRT Yellow Line,"41,731",
2154,2154,27/7/2023,BTS Green Line,"891,172",
2155,2155,27/7/2023,BTS Gold Line,"7,923",
2156,2156,28/7/2023,SRT,"101,416",
2157,2157,28/7/2023,ARL,"50,882",
2158,2158,28/7/2023,Red Line,"16,149",
2159,2159,28/7/2023,MRT Blue Line,"273,339",
2160,2160,28/7/2023,MRT Purple Line,"34,255",
2161,2161,28/7/2023,MRT Yellow Line,"28,753",
2162,2162,28/7/2023,BTS Green Line,"556,080",
2163,2163,28/7/2023,BTS Gold Line,"10,281",
2164,2164,29/7/2023,SRT,"79,861",
2165,2165,29/7/2023,ARL,"49,396",
2166,2166,29/7/2023,Red Line,"15,488",
2167,2167,29/7/2023,MRT Blue Line,"278,031",
2168,2168,29/7/2023,MRT Purple Line,"34,243",
2169,2169,29/7/2023,MRT Yellow Line,"27,645",
2170,2170,29/7/2023,BTS Green Line,"566,773",
2171,2171,29/7/2023,BTS Gold Line,"10,551",
2172,2172,30/7/2023,SRT,"80,348",
2173,2173,30/7/2023,ARL,"44,119",
2174,2174,30/7/2023,Red Line,"13,191",
2175,2175,30/7/2023,MRT Blue Line,"238,873",
2176,2176,30/7/2023,MRT Purple Line,"29,448",
2177,2177,30/7/2023,MRT Yellow Line,"25,788",
2178,2178,30/7/2023,BTS Green Line,"493,740",
2179,2179,30/7/2023,BTS Gold Line,"8,299",
2180,2180,31/7/2023,SRT,"73,705",
2181,2181,31/7/2023,ARL,"55,247",
2182,2182,31/7/2023,Red Line,"16,565",
2183,2183,31/7/2023,MRT Blue Line,"334,518",
2184,2184,31/7/2023,MRT Purple Line,"46,236",
2185,2185,31/7/2023,MRT Yellow Line,"31,274",
2186,2186,31/7/2023,BTS Green Line,"629,227",
2187,2187,31/7/2023,BTS Gold Line,"8,517",
2188,2188,1/8/2023,SRT,"79,105",
2189,2189,1/8/2023,ARL,"47,366",
2190,2190,1/8/2023,Red Line,"14,509",
2191,2191,1/8/2023,MRT Blue Line,"266,592",
2192,2192,1/8/2023,MRT Purple Line,"32,595",
2193,2193,1/8/2023,MRT Yellow Line,"28,213",
2194,2194,1/8/2023,BTS Green Line,"523,111",
2195,2195,1/8/2023,BTS Gold Line,"9,122",
2196,2196,2/8/2023,SRT,"83,033",
2197,2197,2/8/2023,ARL,"60,555",
2198,2198,2/8/2023,Red Line,"19,235",
2199,2199,2/8/2023,MRT Blue Line,"381,894",
2200,2200,2/8/2023,MRT Purple Line,"54,462",
2201,2201,2/8/2023,MRT Yellow Line,"31,295",
2202,2202,2/8/2023,BTS Green Line,"842,393",
2203,2203,2/8/2023,BTS Gold Line,"6,697",
2204,2204,3/8/2023,SRT,"69,227",
2205,2205,3/8/2023,ARL,"69,342",
2206,2206,3/8/2023,Red Line,"25,565",
2207,2207,3/8/2023,MRT Blue Line,"462,870",
2208,2208,3/8/2023,MRT Purple Line,"72,904",
2209,2209,3/8/2023,MRT Yellow Line,"39,875",
2210,2210,3/8/2023,BTS Green Line,"846,094",
2211,2211,3/8/2023,BTS Gold Line,"7,553",
2212,2212,4/8/2023,SRT,"71,871",
2213,2213,4/8/2023,ARL,"72,213",
2214,2214,4/8/2023,Red Line,"25,653",
2215,2215,4/8/2023,MRT Blue Line,"481,139",
2216,2216,4/8/2023,MRT Purple Line,"73,964",
2217,2217,4/8/2023,MRT Yellow Line,"39,875",
2218,2218,4/8/2023,BTS Green Line,"873,057",
2219,2219,4/8/2023,BTS Gold Line,"8,017",
2220,2220,5/8/2023,SRT,"66,390",
2221,2221,5/8/2023,ARL,"57,135",
2222,2222,5/8/2023,Red Line,"16,817",
2223,2223,5/8/2023,MRT Blue Line,"344,620",
2224,2224,5/8/2023,MRT Purple Line,"43,457",
2225,2225,5/8/2023,MRT Yellow Line,"35,406",
2226,2226,5/8/2023,BTS Green Line,"652,781",
2227,2227,5/8/2023,BTS Gold Line,"8,500",
2228,2228,6/8/2023,SRT,"68,922",
2229,2229,6/8/2023,ARL,"49,599",
2230,2230,6/8/2023,Red Line,"15,082",
2231,2231,6/8/2023,MRT Blue Line,"283,672",
2232,2232,6/8/2023,MRT Purple Line,"33,774",
2233,2233,6/8/2023,MRT Yellow Line,"28,276",
2234,2234,6/8/2023,BTS Green Line,"559,284",
2235,2235,6/8/2023,BTS Gold Line,"8,394",
2236,2236,7/8/2023,SRT,"66,449",
2237,2237,7/8/2023,ARL,"72,977",
2238,2238,7/8/2023,Red Line,"24,080",
2239,2239,7/8/2023,MRT Blue Line,"461,389",
2240,2240,7/8/2023,MRT Purple Line,"73,192",
2241,2241,7/8/2023,MRT Yellow Line,"37,368",
2242,2242,7/8/2023,BTS Green Line,"834,889",
2243,2243,7/8/2023,BTS Gold Line,"7,277",
2244,2244,8/8/2023,SRT,"61,358",
2245,2245,8/8/2023,ARL,"71,177",
2246,2246,8/8/2023,Red Line,"24,062",
2247,2247,8/8/2023,MRT Blue Line,"491,328",
2248,2248,8/8/2023,MRT Purple Line,"75,490",
2249,2249,8/8/2023,MRT Yellow Line,"37,334",
2250,2250,8/8/2023,BTS Green Line,"862,754",
2251,2251,8/8/2023,BTS Gold Line,"6,649",
2252,2252,9/8/2023,SRT,"61,381",
2253,2253,9/8/2023,ARL,"71,465",
