_id,No.,Date,Organization,Number_Passenger,Note
117,117,17/10/2022,MRT Purple Line,"44,629",
118,118,17/10/2022,BTS Green Line,"712,444",
119,119,17/10/2022,BTS Gold Line,"3,888",
120,120,18/10/2022,SRT,"62,422",
121,121,18/10/2022,ARL,"60,375",
122,122,18/10/2022,Red Line,"19,702",
123,123,18/10/2022,MRT Blue Line,"374,353",
124,124,18/10/2022,MRT Purple Line,"43,681",
125,125,18/10/2022,BTS Green Line,"737,074",
126,126,18/10/2022,BTS Gold Line,"3,553",
127,127,19/10/2022,SRT,"59,793",
128,128,19/10/2022,ARL,"60,860",
129,129,19/10/2022,Red Line,"18,962",
130,130,19/10/2022,MRT Blue Line,"374,038",
131,131,19/10/2022,MRT Purple Line,"44,193",
132,132,19/10/2022,BTS Green Line,"740,486",
133,133,19/10/2022,BTS Gold Line,"3,684",
134,134,20/10/2022,SRT,"63,082",
135,135,20/10/2022,ARL,"60,620",
136,136,20/10/2022,Red Line,"18,775",
137,137,20/10/2022,MRT Blue Line,"378,019",
138,138,20/10/2022,MRT Purple Line,"43,761",
139,139,20/10/2022,BTS Green Line,"738,228",
140,140,20/10/2022,BTS Gold Line,"4,015",
141,141,21/10/2022,SRT,"70,827",
142,142,21/10/2022,ARL,"63,818",
143,143,21/10/2022,Red Line,"21,071",
144,144,21/10/2022,MRT Blue Line,"395,669",
145,145,21/10/2022,MRT Purple Line,"46,647",
146,146,21/10/2022,BTS Green Line,"779,599",
147,147,21/10/2022,BTS Gold Line,"5,899",
148,148,22/10/2022,SRT,"69,388",
149,149,22/10/2022,ARL,"47,471",
150,150,22/10/2022,Red Line,"15,356",
151,151,22/10/2022,MRT Blue Line,"271,999",
152,152,22/10/2022,MRT Purple Line,"27,195",
153,153,22/10/2022,BTS Green Line,"603,177",
154,154,22/10/2022,BTS Gold Line,"7,038",
155,155,23/10/2022,SRT,"64,463",
156,156,23/10/2022,ARL,"39,922",
157,157,23/10/2022,Red Line,"12,273",
158,158,23/10/2022,MRT Blue Line,"223,234",
159,159,23/10/2022,MRT Purple Line,"22,847",
160,160,23/10/2022,BTS Green Line,"557,813",
161,161,23/10/2022,BTS Gold Line,"3,921",
162,162,24/10/2022,SRT,"67,427",
163,163,24/10/2022,ARL,"38,307",
164,164,24/10/2022,Red Line,"11,097",
165,165,24/10/2022,MRT Blue Line,"217,148",
166,166,24/10/2022,MRT Purple Line,"22,175",
167,167,24/10/2022,BTS Green Line,"447,983",
168,168,24/10/2022,BTS Gold Line,"4,148",
169,169,25/10/2022,SRT,"67,269",
170,170,25/10/2022,ARL,"60,000",
171,171,25/10/2022,Red Line,"18,729",
172,172,25/10/2022,MRT Blue Line,"354,230",
173,173,25/10/2022,MRT Purple Line,"43,316",
174,174,25/10/2022,BTS Green Line,"737,106",
175,175,25/10/2022,BTS Gold Line,"3,437",
176,176,26/10/2022,SRT,"63,530",
177,177,26/10/2022,ARL,"59,924",
178,178,26/10/2022,Red Line,"18,433",
179,179,26/10/2022,MRT Blue Line,"369,932",
180,180,26/10/2022,MRT Purple Line,"44,672",
181,181,26/10/2022,BTS Green Line,"757,051",
182,182,26/10/2022,BTS Gold Line,"3,684",
183,183,27/10/2022,SRT,"64,011",
184,184,27/10/2022,ARL,"60,214",
185,185,27/10/2022,Red Line,"19,022",
186,186,27/10/2022,MRT Blue Line,"361,733",
187,187,27/10/2022,MRT Purple Line,"43,399",
188,188,27/10/2022,BTS Green Line,"723,262",
189,189,27/10/2022,BTS Gold Line,"3,818",
190,190,28/10/2022,SRT,"72,383",
191,191,28/10/2022,ARL,"62,867",
192,192,28/10/2022,Red Line,"20,477",
193,193,28/10/2022,MRT Blue Line,"369,737",
194,194,28/10/2022,MRT Purple Line,"44,253",
195,195,28/10/2022,BTS Green Line,"781,068",
196,196,28/10/2022,BTS Gold Line,"4,622",
197,197,29/10/2022,SRT,"65,906",
198,198,29/10/2022,ARL,"46,791",
199,199,29/10/2022,Red Line,"14,233",
200,200,29/10/2022,MRT Blue Line,"234,498",
201,201,29/10/2022,MRT Purple Line,"25,797",
202,202,29/10/2022,BTS Green Line,"589,016",
203,203,29/10/2022,BTS Gold Line,"5,104",
204,204,30/10/2022,SRT,"66,549",
205,205,30/10/2022,ARL,"42,021",
206,206,30/10/2022,Red Line,"11,814",
207,207,30/10/2022,MRT Blue Line,"183,671",
208,208,30/10/2022,MRT Purple Line,"21,736",
209,209,30/10/2022,BTS Green Line,"471,594",
210,210,30/10/2022,BTS Gold Line,"4,050",
211,211,31/10/2022,SRT,"67,773",
212,212,31/10/2022,ARL,"60,893",
213,213,31/10/2022,Red Line,"19,278",
214,214,31/10/2022,MRT Blue Line,"358,639",
215,215,31/10/2022,MRT Purple Line,"44,048",
216,216,31/10/2022,BTS Green Line,"724,424",
217,217,31/10/2022,BTS Gold Line,"3,746",
218,218,1/11/2022,SRT,"62,633",
219,219,1/11/2022,ARL,"62,489",
220,220,1/11/2022,Red Line,"18,145",
221,221,1/11/2022,MRT Blue Line,"369,217",
222,222,1/11/2022,MRT Purple Line,"45,982",
223,223,1/11/2022,BTS Green Line,"753,668",
224,224,1/11/2022,BTS Gold Line,"3,461",
225,225,2/11/2022,SRT,"61,908",
226,226,2/11/2022,ARL,"60,854",
227,227,2/11/2022,Red Line,"17,697",
228,228,2/11/2022,MRT Blue Line,"379,977",
229,229,2/11/2022,MRT Purple Line,"47,328",
230,230,2/11/2022,BTS Green Line,"758,470",
231,231,2/11/2022,BTS Gold Line,"3,524",
232,232,3/11/2022,SRT,"62,267",
